"address_id","user_id","recipient_name","phone","address_line1","address_line2","city","state","postal_code","country","is_default","create_time"
"3","2","李四","13800138001","广州市天河区天河路300号","C座303室","广州","广东","510620","中国","t","2023-02-10"
"4","2","李四","13800138001","深圳市南山区科技园路400号","D座404室","深圳","广东","518057","中国","f","2023-02-10"
"5","3","王五","13800138002","成都市武侯区人民南路500号","E座505室","成都","四川","610041","中国","t","2023-03-05"
"6","4","赵六","13800138003","杭州市西湖区文三路600号","F座606室","杭州","浙江","310012","中国","t","2023-04-20"
"7","5","孙七","13800138004","南京市玄武区中山路700号","G座707室","南京","江苏","210008","中国","t","2023-05-12"
"8","6","周八","13800138005","武汉市江汉区解放大道800号","H座808室","武汉","湖北","430022","中国","t","2023-06-18"
"9","7","吴九","13800138006","重庆市渝中区解放碑900号","I座909室","重庆","重庆","400010","中国","t","2023-07-22"
"10","8","郑十","13800138007","西安市雁塔区长安路1000号","J座1010室","西安","陕西","710061","中国","t","2023-08-30"
"11","9","王芳","13800138008","天津市和平区南京路1100号","K座1111室","天津","天津","300041","中国","t","2023-09-05"
"12","10","刘伟","13800138009","北京市海淀区中关村大街1200号","L座1212室","北京","北京","100080","中国","t","2023-10-01"
"13","11","陈静","13800138010","上海市徐汇区漕溪路1300号","M座1313室","上海","上海","200235","中国","t","2023-01-20"
"14","12","杨洋","13800138011","广州市越秀区东风路1400号","N座1414室","广州","广东","510030","中国","t","2023-02-25"
"15","13","高飞","13800138012","深圳市福田区深南大道1500号","O座1515室","深圳","广东","518048","中国","t","2023-03-15"
"16","14","林娜","13800138013","成都市高新区天府大道1600号","P座1616室","成都","四川","610041","中国","t","2023-04-10"
"17","15","郭强","13800138014","杭州市滨江区江南大道1700号","Q座1717室","杭州","浙江","310052","中国","t","2023-05-05"
"18","16","何婷","13800138015","南京市鼓楼区北京西路1800号","R座1818室","南京","江苏","210008","中国","t","2023-06-12"
"19","17","马超","13800138016","武汉市武昌区中南路1900号","S座1919室","武汉","湖北","430071","中国","t","2023-07-18"
"20","18","黄娟","13800138017","重庆市江北区观音桥2000号","T座2020室","重庆","重庆","400020","中国","t","2023-08-22"
"21","19","邓伟","13800138018","西安市未央区未央路2100号","U座2121室","西安","陕西","710016","中国","t","2023-09-28"
"22","20","许敏","13800138019","天津市南开区卫津路2200号","V座2222室","天津","天津","300072","中国","t","2023-10-05"
"23","21","刘洋","13800138020","北京市朝阳区东三环北路2300号","W座2323室","北京","北京","100027","中国","t","2023-01-25"
"24","22","张敏","13800138021","上海市静安区南京西路2400号","X座2424室","上海","上海","200040","中国","t","2023-02-15"
"25","23","王磊","13800138022","广州市海珠区新港中路2500号","Y座2525室","广州","广东","510300","中国","t","2023-03-10"
"26","24","李娜","13800138023","深圳市罗湖区深南东路2600号","Z座2626室","深圳","广东","518001","中国","t","2023-04-05"
"27","25","赵强","13800138024","成都市锦江区红星路2700号","A座2727室","成都","四川","610021","中国","t","2023-05-20"
"28","26","孙丽","13800138025","杭州市西湖区文二路2800号","B座2828室","杭州","浙江","310012","中国","t","2023-06-15"
"29","27","周伟","13800138026","南京市秦淮区中山南路2900号","C座2929室","南京","江苏","210001","中国","t","2023-07-10"
"30","28","吴芳","13800138027","武汉市洪山区珞喻路3000号","D座3030室","武汉","湖北","430074","中国","t","2023-08-05"
"31","29","郑超","13800138028","重庆市南岸区南坪西路3100号","E座3131室","重庆","重庆","400060","中国","t","2023-09-01"
"32","30","王敏","13800138029","西安市碑林区友谊东路3200号","F座3232室","西安","陕西","710054","中国","t","2023-10-10"
"33","31","陈伟","13800138030","天津市河西区友谊路3300号","G座3333室","天津","天津","300201","中国","t","2023-01-05"
"34","32","杨敏","13800138031","北京市海淀区西直门外大街3400号","H座3434室","北京","北京","100044","中国","t","2023-02-20"
"35","33","高强","13800138032","上海市长宁区虹桥路3500号","I座3535室","上海","上海","200336","中国","t","2023-03-25"
"36","34","林丽","13800138033","广州市白云区机场路3600号","J座3636室","广州","广东","510405","中国","t","2023-04-30"
"37","35","郭伟","13800138034","深圳市宝安区宝安大道3700号","K座3737室","深圳","广东","518101","中国","t","2023-05-15"
"38","36","何芳","13800138035","成都市青羊区人民中路3800号","L座3838室","成都","四川","610031","中国","t","2023-06-20"
"39","37","马敏","13800138036","杭州市下城区延安路3900号","M座3939室","杭州","浙江","310006","中国","t","2023-07-25"
"40","38","黄伟","13800138037","南京市建邺区江东中路4000号","N座4040室","南京","江苏","210019","中国","t","2023-08-30"
"41","39","邓丽","13800138038","武汉市江岸区解放大道4100号","O座4141室","武汉","湖北","430014","中国","t","2023-09-05"
"42","40","许伟","13800138039","重庆市江北区观音桥4200号","P座4242室","重庆","重庆","400020","中国","t","2023-10-15"
"43","41","Alice","13500138040","北京市朝阳区建国路4300号","Q座4343室","北京","北京","100022","中国","t","2023-01-10"
"44","42","Bob","13100138041","上海市浦东新区世纪大道4400号","R座4444室","上海","上海","200120","中国","t","2023-02-15"
"45","43","Charlie","13300138042","广州市天河区天河路4500号","S座4545室","广州","广东","510620","中国","t","2023-03-20"
"46","44","David","15000138043","深圳市南山区科技园路4600号","T座4646室","深圳","广东","518057","中国","t","2023-04-25"
"47","45","Eva","13200138044","成都市武侯区人民南路4700号","U座4747室","成都","四川","610041","中国","t","2023-05-30"
"48","46","Frank","14900138045","杭州市西湖区文三路4800号","V座4848室","杭州","浙江","310012","中国","t","2023-06-05"
"49","47","Grace","15900138046","南京市玄武区中山路4900号","W座4949室","南京","江苏","210008","中国","t","2023-07-10"
"50","48","Henry","15500138047","武汉市江汉区解放大道5000号","X座5050室","武汉","湖北","430022","中国","t","2023-08-15"
"51","49","Ivy","17700138048","重庆市渝中区解放碑5100号","Y座5151室","重庆","重庆","400010","中国","t","2023-09-20"
"52","50","Jack","18800138049","西安市雁塔区长安路5200号","Z座5252室","西安","陕西","710061","中国","t","2023-10-25"
"53","51","Karen","16600138050","天津市和平区南京路5300号","A座5353室","天津","天津","300041","中国","t","2023-01-05"
"54","52","Leo","19900138051","北京市海淀区中关村大街5400号","B座5454室","北京","北京","100080","中国","t","2023-02-10"
"55","53","Mia","13600138052","上海市徐汇区漕溪路5500号","C座5555室","上海","上海","200235","中国","t","2023-03-15"
"56","54","Noah","17500138053","广州市越秀区东风路5600号","D座5656室","广州","广东","510030","中国","t","2023-04-20"
"57","55","Olivia","18000138054","深圳市福田区深南大道5700号","E座5757室","深圳","广东","518048","中国","t","2023-05-25"
"58","56","Paul","15700138055","成都市高新区天府大道5800号","F座5858室","成都","四川","610041","中国","t","2023-06-30"
"59","57","Quinn","13200138056","杭州市滨江区江南大道5900号","G座5959室","杭州","浙江","310052","中国","t","2023-07-05"
"60","58","Ryan","18900138057","南京市鼓楼区北京西路6000号","H座6060室","南京","江苏","210008","中国","t","2023-08-10"
"61","59","Sophia","13400138058","武汉市武昌区中南路6100号","I座6161室","武汉","湖北","430071","中国","t","2023-09-15"
"62","60","Thomas","17600138059","重庆市江北区观音桥6200号","J座6262室","重庆","重庆","400020","中国","t","2023-10-20"
"63","61","Uma","15300138060","西安市未央区未央路6300号","K座6363室","西安","陕西","710016","中国","t","2023-01-25"
"64","62","Victor","13900138061","天津市南开区卫津路6400号","L座6464室","天津","天津","300072","中国","t","2023-02-28"
"65","63","Wendy","18500138062","北京市朝阳区东三环北路6500号","M座6565室","北京","北京","100027","中国","t","2023-03-05"
"66","64","Xander","17300138063","上海市静安区南京西路6600号","N座6666室","上海","上海","200040","中国","t","2023-04-10"
"67","65","Yara","15800138064","广州市海珠区新港中路6700号","O座6767室","广州","广东","510300","中国","t","2023-05-15"
"68","66","Zack","14500138065","深圳市罗湖区深南东路6800号","P座6868室","深圳","广东","518001","中国","t","2023-06-20"
"69","67","Ava","18100138066","成都市锦江区红星路6900号","Q座6969室","成都","四川","610021","中国","t","2023-07-25"
"70","68","Ben","13700138067","杭州市西湖区文二路7000号","R座7070室","杭州","浙江","310012","中国","t","2023-08-30"
"71","69","Cara","15600138068","南京市秦淮区中山南路7100号","S座7171室","南京","江苏","210001","中国","t","2023-09-05"
"72","70","Duke","19800138069","武汉市洪山区珞喻路7200号","T座7272室","武汉","湖北","430074","中国","t","2023-10-10"
"73","71","Ella","13500138070","重庆市南岸区南坪西路7300号","U座7373室","重庆","重庆","400060","中国","t","2023-01-10"
"74","72","Finn","13100138071","西安市碑林区友谊东路7400号","V座7474室","西安","陕西","710054","中国","t","2023-02-15"
"75","73","Gina","13300138072","天津市河西区友谊路7500号","W座7575室","天津","天津","300201","中国","t","2023-03-20"
"76","74","Hank","15000138073","北京市海淀区西直门外大街7600号","X座7676室","北京","北京","100044","中国","t","2023-04-25"
"77","75","Iris","13200138074","上海市长宁区虹桥路7700号","Y座7777室","上海","上海","200336","中国","t","2023-05-30"
"78","76","Jake","14900138075","广州市白云区机场路7800号","Z座7878室","广州","广东","510405","中国","t","2023-06-05"
"79","77","Kara","15900138076","深圳市宝安区宝安大道7900号","A座7979室","深圳","广东","518101","中国","t","2023-07-10"
